title,address,available_from,price_per_month,surface_m2,bedrooms,link,status,available_from_date,available_from_note,is_available,is_new,is_active,date_scraped
Plantage Muidergracht 99 D8,1018TN Amsterdam,,1910.0,91,2,https://ikwilhuren.nu/object/amsterdam-1018tn-99-d8-plantage-muidergracht-4a49e460494268ad8754f018a48853aa/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Carolina MacGillavrylaan 505,1098XA Amsterdam,,1477.0,66,2,https://ikwilhuren.nu/object/amsterdam-1098xa-505-carolina-macgillavrylaan-b12d19ee76c6af469e1e19105180cbbb/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Molenwerf + PPL 136 8 E1,1014AG Amsterdam,,1165.0,67,1,https://ikwilhuren.nu/object/amsterdam-1014ag-8-e1-molenwerf-ppl-136-41df190b40526fc141e1a52b52a94fdd/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Elzenhagensingel 459,1022LA Amsterdam,,1803.0,90,2,https://ikwilhuren.nu/object/amsterdam-1022la-459-elzenhagensingel-aa93ddd7576c66b0b1da3519c9d0b1c5/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Plantage Muidergracht 97 C9,1018TN Amsterdam,,1865.0,91,2,https://ikwilhuren.nu/object/amsterdam-1018tn-97-c9-plantage-muidergracht-26e9e350849f15ad61a84c77c088c4e5/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Buyskade 228,1051ME Amsterdam,,1813.0,72,1,https://ikwilhuren.nu/object/amsterdam-1051me-228-buyskade-dd2ff86fa3f61e3575c6d35a71206173/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Carolina MacGillavrylaan 491,1098XA Amsterdam,,1450.0,69,2,https://ikwilhuren.nu/object/amsterdam-1098xa-491-carolina-macgillavrylaan-f98cce1125189ee09d915c0c5c015904/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Plantage Muidergracht 99 H2,1018TN Amsterdam,,2333.0,134,2,https://ikwilhuren.nu/object/amsterdam-1018tn-99-h2-plantage-muidergracht-d5dbf08521d998d9c04736367a254a0e/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Wichersstraat 39,1051ML Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",1710.0,75,2,https://ikwilhuren.nu/object/amsterdam-1051ml-39-wichersstraat-f1941f795deccadfa2700d50ed402ed2/,Verhuurd onder voorbehoud,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Carolina MacGillavrylaan 433,1098XA Amsterdam,,1273.0,60,1,https://ikwilhuren.nu/object/amsterdam-1098xa-433-carolina-macgillavrylaan-cca09ff352346e3334406d81964194b1/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Vrouwengelukhof 260,1061BS Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",1522.0,64,1,https://ikwilhuren.nu/object/amsterdam-1061bs-260-vrouwengelukhof-d1b0d875d1c3ad9f08d2ab75f2dd3a18/,Verhuurd onder voorbehoud,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Gustav Mahlerlaan 891,1082MK Amsterdam,,2105.0,93,2,https://ikwilhuren.nu/object/amsterdam-1082mk-891-gustav-mahlerlaan-1105cfce38a42ea4fa577a4805d51eb0/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
